Territorialidade,Posição IDHM,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHMEducacao,Posição IDHM Longevidade,IDHM Longevidade,UF
Distrito Federal,1,0.814,1,0.821,2,0.817,6,0.803,DF
São Paulo,2,0.806,2,0.771,1,0.839,5,0.81,SP
Santa Catarina,3,0.792,4,0.759,3,0.79,3,0.827,SC
Minas Gerais,4,0.774,9,0.718,7,0.762,2,0.846,MG
Rio Grande do Sul,5,0.771,3,0.767,10,0.75,7,0.797,RS
Espírito Santo,5,0.771,10,0.715,11,0.742,1,0.864,ES
Paraná,7,0.769,6,0.744,4,0.78,10,0.785,PR
Rio de Janeiro,8,0.762,4,0.759,8,0.758,16,0.769,RJ
Mato Grosso do Sul,9,0.742,7,0.733,12,0.741,18,0.751,MS
Goiás,10,0.737,11,0.714,5,0.778,26,0.721,GO
Mato Grosso,11,0.736,8,0.72,8,0.758,24,0.73,MT
Ceará,12,0.734,17,0.658,6,0.766,11,0.784,CE
Tocantins,13,0.731,13,0.684,13,0.732,12,0.779,TO
Rio Grande do Norte,14,0.728,12,0.692,22,0.68,4,0.819,RN
Pernambuco,15,0.719,23,0.647,14,0.721,7,0.797,PE
Acre,16,0.71,18,0.655,19,0.692,9,0.788,AC
Sergipe,17,0.702,16,0.662,21,0.684,17,0.764,SE
Rondônia,18,0.7,15,0.677,18,0.694,23,0.731,RO
Amazonas,18,0.7,25,0.641,15,0.72,21,0.744,AM
Roraima,20,0.699,14,0.68,24,0.673,20,0.745,RR
Paraíba,21,0.698,19,0.653,25,0.669,12,0.779,PB
Bahia,22,0.691,21,0.648,26,0.659,15,0.772,BA
Pará,23,0.69,24,0.645,20,0.686,21,0.744,PA
Piauí,23,0.69,20,0.649,17,0.698,25,0.726,PI
Amapá,25,0.688,21,0.648,27,0.647,14,0.778,AP
Alagoas,26,0.684,26,0.63,23,0.679,19,0.748,AL
Maranhão,27,0.676,27,0.603,16,0.716,27,0.715,MA
